date,learner,content
29/08/2018 15.50.58,L023,Stamattina ho mangiato la frutta fresca.
29/08/2018 15.50.58,L023,Mi piacerebbe avere una colazione in piscina. 
29/08/2018 15.50.58,L023,Mio marito mi ha regalato le rose rosse.
29/08/2018 15.50.58,L023,Odio gli uomini che odiano le donne.
29/08/2018 15.50.58,L023,Mi piace la catena di oro bianco. 
29/08/2018 15.50.58,L023,L´anno prossimo per le vacanze mi piacerebbe andare al mare.
29/08/2018 15.50.58,L023,Figlia di mio fratello é diventata un piccolo diavolo.
29/08/2018 15.50.58,L023,Il film Ultimo tango a Parigi é veramente belissimo. 
29/08/2018 15.50.58,L023,Miei figli vorreberro cane bianco.
29/08/2018 15.50.58,L023,Mio figlio é piu giovane calciatore di hockey a Kopřivnice. 
29/08/2018 21.36.17,L048,Hai portato della frutta fresca?
29/08/2018 21.36.17,L048,Ho fatto la prima colazione in piscina.
29/08/2018 21.36.17,L048,Mi piacciono molto le rose rosse.
29/08/2018 21.36.17,L048,Uomini che odiano le donne è il romanzo della trilogia Millennium dallo scrittore svedese Stieg Larsson.
29/08/2018 21.36.17,L048,Mio marito mi ha regalato un braccialetto d´oro.
29/08/2018 21.36.17,L048,Sei andato al mare?
29/08/2018 21.36.17,L048,Mio figlio è come piccolo diavolo.
29/08/2018 21.36.17,L048,Ultimo tango a Parigi è un film di Bernardo Bertolucci
29/08/2018 21.36.17,L048,"Hai visto cane bianco,
 un film americano?"
29/08/2018 21.36.17,L048,Conosci qualche giovane calciatore promettente?
29/08/2018 21.55.32,L012,Mi piace frutta fresca.
29/08/2018 21.55.32,L012,Non ho mai mangiato una colazione in piscina.
29/08/2018 21.55.32,L012,MI ha regalato delle rose rosse 
29/08/2018 21.55.32,L012,Sono tanti gli uomini che odiano le donne.
29/08/2018 21.55.32,L012,Ho un dente d´oro.
29/08/2018 21.55.32,L012,Questo estate sono stala al mare.
29/08/2018 21.55.32,L012,Ho partorito un piccolo diavolo.
29/08/2018 21.55.32,L012,Non ho mai vistlo il film Ultimo tango a Parigi.
29/08/2018 21.55.32,L012,Ho un cane bianco con gli orecchi neri.
29/08/2018 21.55.32,L012,Un giovane calciatore passa tempo libero al campo.
30/08/2018 9.23.30,L049,Ho mangiato della frutta fresca appena comprata al mercato. 
30/08/2018 9.23.30,L049,"Hmmm,
 mi piacerebbe fare la colazione in piscina tutti giorni. "
30/08/2018 9.23.30,L049,Mi hanno regalato delle bellissime rose rosse per il mio compleanno. 
30/08/2018 9.23.30,L049,Uomini che odiano le donne vengono chiamati misogini. 
