"Corpus","Type","Text.ID","Author.ID","L1","content"
"CZECH-IT","text-message","I001","L001","ces","Sono vestiti vecchi 10 anni, quindi le uso per barca"
"CZECH-IT","text-message","I002","L001","ces","Chiamo il uomo della allergologia"
"CZECH-IT","text-message","I003","L001","ces","Faccio i piani in my mind per mandare curricula"
"CZECH-IT","text-message","I004","L001","ces","Devo prendere NP di altra città quando viene con autobus"
"CZECH-IT","text-message","I005","L001","ces","Facciamo adesso altro piano va bene?"
"CZECH-IT","text-message","I006","L001","ces","Non funziona proprio così che quando sei triste puoi scusarti di tutte cose"
"CZECH-IT","text-message","I007","L001","ces","Come tu hai detto al tuo padre quando ti ha chiesto"
"CZECH-IT","text-message","I008","L001","ces","Lo so che non era bell giorno"
"CZECH-IT","text-message","I009","L001","ces","È lo stesso nel tutto il mondo"
"CZECH-IT","text-message","I010","L001","ces","Lo primo nella rivista"
"CZECH-IT","text-message","I011","L001","ces","Guarda chi è autore"
"CZECH-IT","text-message","I012","L001","ces","Sono seduta next to a grande ciccione"
"CZECH-IT","text-message","I013","L001","ces","Anch’ io scusa"
"CZECH-IT","text-message","I014","L001","ces","Anch’ io grazie"
"CZECH-IT","text-message","I015","L002","ces","Abbiamo un corso interno per i nostri studenti dell 1. anno"
"CZECH-IT","text-message","I016","L002","ces","Con famiglia festeggeremo il primo fine settimana a luglio"
"CZECH-IT","text-message","I017","L003","ces","Anche mi piace che vivo da sola"
"CZECH-IT","text-message","I018","L003","ces","Ma io già anche parlo!"
"CZECH-IT","text-message","I019","L003","ces","Per ragazzo non è tanto triste"
"CZECH-IT","text-message","I020","L003","ces","Mia amica mi aiuta"
"CZECH-IT","text-message","I021","L003","ces","Vado al Roma per 2 settimane"
"CZECH-IT","email","I027","L006","ces","Scusa mi per il disturbo ma devo chiederti un favore"
"CZECH-IT","email","I028","L020","ces","Ciao NP, Mi scusi per non venire alle lezioni di questa settimana"
"CZECH-IT","email","I029","L007","ces","Io sempre voglio fare tutto molto precisamente"
