"Corpus","Type","Text.ID","Author.ID","L1","content"
"CZECH-IT","email","I024","L005","slk","Scusi, ma non posso venire a scuola oggi e domani, perchè sono malata e ho la febbre"
"CZECH-IT","email","I025","L005","slk","Scusarmi ma domani non posso venire per lezione ""Italština v písni"" perchè io devo andare dal medico"
"CZECH-IT","email","I026","L005","slk","Scusarmi, ma io non posso venire questa settimana, perché sono malata."
"CZECH-IT","survey-message","I076","L040","slk","Ho iniziato a studiare l'italiano perché mi piace la lingua"
"CZECH-IT","survey-message","I090","L061","slk","amo l´italiano"
"CZECH-IT","survey-message","I096","L067","slk","Per la curiosita e per poter parlare con gli uomini italiani"
"CZECH-IT","survey-message","I102","L080","slk","perche e una bella lingua"
"CZECH-IT","survey-message","I110","L005","slk","Si dice che la vita di studio è senza problemi e obblighi e così via. Penso che a volte anche la vita di uno studente è molto stressante e impegnativo e non solo nel periodo di esame. Se una persona sta studiando ogni giorno, a volte dalla mattina alla sera, è abbastanza faticoso. Per me personalmente è il momento migliore per concentrarsi al mattino circa 10, o 2 ore dopo pranzo. Non deve essere né troppo presto né troppo tardi la sera. Secondo me sono le migliori tecniche di ricordare le informazioni come un'interessante presentazione, che si può ancora vedere lo studente a casa, o in quali materiali non sono implicati qui. Sempre è anche un tipo di altoparlante."
"CZECH-IT","survey-message","I111","L005","slk","La mia ultima vacanza era in estate quando sono con i miei amici e il mio ragazzo siamo andati a sud della Croazia, per la città Omiš. La nostra vacanza è durato solo 3 giorni, ed ecco perché abbiamo cercato di sfruttare il tempo e fare tutto da fare in vacanza ha. Il mare era molto bella e pulita, e un giorno è stato molto burrascoso. La città Omiš è molto bello, soprattutto i più anziani downtown offre il giusto tocco per le vacanze. Abbiamo anche visitato il bellissimo porto città di Trogir, dove si possono vedere navi, quello che sembrava."
"CZECH-IT","survey-message","I112","L005","slk","In primo luogo, preparare una miscela di carne, cipolle e pomodori. Poi prepareremo la besciamella, la salsa di formaggio. Fette di lasagne abbiamo messo in acqua calda prima e quindi abbiamo strato: lasagne, miscela e la salsa in una teglia. Per cominciare, dovrebbe essere un misto di carne e l'ultimo strato dovrebbe essere la salsa. Quindi, si possono cuocere le lasagne e dopo circa 25 minuti, ad esempio, sono stati preparati per il pranzo. Adoro le lasagne, sto preparando a casa con un amico, di solito per la cena. Nel ristorante, ho avuto solo una versione vegetariana, ma erano molto buone."
"CZECH-IT","survey-message","I143","L040","slk","Lo mio studio della lingua italiana all´universitá é per me sempre piú di ficile. Per lo mio devo molto concentrarmi. Periodo per il mio studio e solamente sera, perché mattina lavoro.Non ho molte ""tecniche"" per ricordarsi le informazioni, io devo parlare cose ad alta voce e dirmi le informazioni piú volte. La gramatica devo purtroppo capire piú in fondo.Sempre peró penso che parlare lítaliano é una risorsa per crescita dal punto di vista umano, culturale e anche professionale."
"CZECH-IT","survey-message","I144","L040","slk","La mia ultima vacanza é stata in Sardegna a Costa Rei. Dopo tre anni ho tornato a casa di mia amica vicino al mare. Ci sono stata solo 7 giorni con le mie amiche di Repubblica Slovacca. Ho trovato qui la gente che ho conosciuta di prima. Sono stati sete giorni di riposo sulla spiaggia e ci ho di nuovo potevo vedere le amiche di Sardegna.Spero di tornare presto... Sardegna é un´isola magnifica con i suoi tradizioni, cultura e naturalmente bellisssimo mare, che é chiamato anche i Caraibi del Mediteraneo."
"CZECH-IT","survey-message","I145","L040","slk","La mia ricetta preferita é il tiramisú, Questa ricetta ho della mia amicha di Sardegna. Mi  piacono i dolci, sono prioprio innamorata di tiramisú...  Poi tiramisú non é molto ficile, penso, che puó fare ogniuno di noi che vuole. Ho provato cucinare anche a casa mia. É piaciuto molto.In Repubblica Ceca é questo dolce molto conosciuto, ma mio ricetta é unico, é della mia cara amica."
