"Corpus","Type","Text.ID","Author.ID","L1","content"
"VALICO","Assignment","","","ces","Può essere , ma non sara diminuendo x e contro . Ma penso , che sarebbe giusto , che i studenti , chi sono cominciati studiare alle condizioni "" vecchie "" , avrebbero la possibilità di scelta tra questi due gruppi di condicisioni . Secondo la regola x "" Non cambiare le regole durante il gioco "" . Quelli studenti , chi cominciereanno studia re , sarebbero guidati per le condizioni per ore . Speso , che l ' aumentazione di numero degli esami serà l ' effetto buono alla prepara|zione degli studenti a loro vita prallica e a loro lavoro ."
"VALICO","Assignment","","","ces","Non sono molto d ' accordo con le tase ma con x gli esami sì . Per una studentessa , che non ha molte possibilità economiche , alzare le tasse avrebbe sarebbe significato di rinunciare agli studi . Già così è abastanza dura quindi spero che non accadrà mai . Posso capire che gli insegnanti si sentono non apprezzati pagati ma penso che si potrebbe trovare un modo diverso per risolvere il problema . Soprattutto si dovrebbe alzare la con gli esami sarei pienamente d ' accordo solo se no qualità delle classi e dei laboratori . Con gli esami sarei d ' accordo anche si per me , studentessa straniera , sarebbe un po ' più complicato , perchè gia studiare in una lingua straniera è molto difficile . Però dall ' altra parte è la scelta che abbiamo fatto noi . E ' un problema molto complesso e si dovrebbe studiare a lungo per non farlo pesare troppo agli studenti e non dimenticarsi neanche degli insegnanti"
"VALICO","Assignment","","","ces","una raggazina ( fanciula ) che si chiamava Capuccetto rosso - aveva la mama Nonna abbitava in un bosco . Un giorno viene a visitarla con un cestino pieno di dolci . Durante viaggio lei ferma un luppo cativo e la chiede Lupo "" Dove vai Capuceto Rosso "" - C . R "" Da mia nona "" Lupo "" e dove abbita la tua nonna - "" ? C .R C. R "" dentro di questo bosco . "" Mentre C . R . continua a caminare dalla sua mamma , ma ma li Lupo cativo Ha fatta Ha fatta mentre C .R . ha fretta essere prima dalla nona . . ... e cosi era era succievo . . la mangia . . prende il suo capello in sua brutta testa , occhiali mette sul ' suo naso . si butta nell letto - e aspettava sta aspettando sta aspettando la Capuceto Rosso . Lei arriva . . La mangia . . e si adormenta ... e russa ariva amico di mi nonna quando vedrà sul lupo mell letto della nonna con la pancia gonfia subitto cappische che cosa e succiesso . Prende il coltelo e fa . . Nella della pancia esche il capecetto rosso e la nonna . Riempono la pancia con le pietre , la cucciono e lo buttano dentro di un lago . La nonna con C .R sono felici e ringraziano il suo salvadore . THE END"
"VALICO","Assignment","","","ces","Ieri al parco uno studente ha visto una signorina . La signorina è stata molto bella e simpatica e ha avuto bisogno di aiuto . # Uno straniero alto e forte ha voluto di rapirla via . Lo studente non ha esitato , ha finito leggere i giornali ed è corso di salvarla subito . Lui è stato molto bravo e ha vinto lo straniero che ha restato giacere sulla terra . La signorina è stata molto felice e affascinata di forza dello studente . Non ha potuto credere come è forte e simpatico . # Alla fine lei si si è innamorata dello studente come sempre . Il lieto fine ."
"VALICO","Assignment","","","ces","Ieri mattina al parco è successo un malinteso . # Siamo stati ritornati a casa con il mio fidanzato . Da prima siamo stati a una serata . Ci sono stati tanti ragazzi e io ho voluto fare l ' amicizia . Improvviso ho rimasto da sola . # Un ragazzo - alto , musculoso , con gli occhi e i capelli bruni mi mi ha domandato : "" Signorina , è da sola ? Che cosa vuole bere ? "" Ho dimenticato dire che il mio fidanzato è geloso . Mi ha portato e siamo andati a casa . Al parco ha cominciato essere aggressivo . Un ' uomo , che ha seduto al parco , ha voluto salvarmi e ha aggredito il mio fidanzato . Sono stata arrabiata ! "" Bada ai fatti tuoi , "" ho detto . # Li ho lasciato al parco e sono andata a casa da sola ."
"VALICO","Assignment","","","ces","Ieri al parco è successa una cosa molto strana . Marco stava seduto sulla sua panchina preferita e come di solito stava leggendo un giornale . # Circa dopo mezz ' ora della lettura tranquilla , si è accorto di una coppia che sembrava di litigare . # Cose è successo . Praticamente è arrivato un tipo muscoloso e si è messo ad urlare a una ragazza quale fino a quel momento stava seduta calma a prendere un pò di sole . L ' uomo l ' ha presa e si la portava via sulla spalla come un sacco di patate . Naturalmente che la ragazza urlava ciò ha fatto alzzare Marco , il quale come un eroe si è messo a salvare la poverina . # Con un pugno solo ha fatto cadere il ragazzo muscoloso e si stava aspettando delle mille grazie dalla ragazza salvata . # Purtroppo non sempre le cose vanno come uno si aspetta . Invece di ringra| ziare , la ragazza si è messa ad urlare a poverino Marco . Era molto arra| bbiata con lui , non capiva perchè ha picchiato il suo fidanzato . # Lo minacciava con una denuncia alla polizia e diceva che non si doveva intramettere nelle cose di cui non sa niente . # Marco ha capito che non vale la pena a distrarsi dalla lettura di prossima volta ."
"VALICO","Assignment","","","ces","La Storia - AMORE"
"VALICO","Assignment","","","ces","Ieri al parco Sergio è seduto e ha letto il giornale e ad un tratto ha passato un ragazzo che ha avuto aspetto come il pugile e ha portato a spalla una ragazza che ha gridato . Sergio ha riconosciuto la sua amica Paola . Si è alzato e si è deciso a salvarla subito . Fra poco li ha raggiunti , ha tolto Paola e l ' ha colpito . Il ragazzo è caduto in deliquio e Sergio ha pensato che Paola sarà felice . Però lei è stata irrivitata e ha cominciato a commentare chi è il ragazzo sdraiato . "" Rocco è il mio promesso e siamo corsi alla chiesa perchè abbiamo voluto sposarsi ! VAI ! ... Oh , mio Rocco ! "" Paola ha detto e ha aiutato a Rocco poveraccio . Sergio ha pensato che le donne sono stravaganti ."
"VALICO","Assignment","","","ces","Una ragazza è rapita in un parco . L ' ha xx rapita un tipo molto strano , con il fisico straordinario , era tutto muscolato . In quel parco c ' era anche un ' altra persona , leggeva un giornale . # Ha visto tutto . Si è incazzato e si è alzato in piedi . Voleva aiutare la ragazza . Ha comincia| to a strilare è ha dato un sacco di botte al rapinatore . Alla fine il ragazzo che voleva aiutare la ragazza , ha scoperto che il rapi| natore non è un un rapinatore , però è xx xxx fidanzato della ragazza . Quindy tutto è sucesso per sbaglio ."
"VALICO","Assignment","","","ces","Ieri al parco un ragazzo sedeva alla panchina e leggeva il giornale . All ' improvviso ha sentito qualcuno gridare . Ha visto un ragazzo che portava una ragazza sulle spalle . Si è deciso ad aiutare la ragazza . quindi si è messo a correre e ha raggiunto il ragazzo . La ragazza sempre gridava allora il ragazzo ha fermato il ragazzo che portava la ragazza e ha dato una botta a lui . Provava gioia perchè ha aiutato la ragazza . Ma la ragazza è stata molto arrabiata perchè il suo ragazzo soltanto voleva prenderla al cinema , ma la ragazza voleva restare al parco . E ' stato solo un gioco ."
"VALICO","Assignment","","","ces","Ieri al ale parco ho avuto primo apuntamento con uno raggazzo . # Lui è venuto arrabiato , perche sucesso qualcosa a suo lavoro . Lui ha comincato litigare con me e io ho detto , che vado a casa , che non voglio rimanere con lui piu . Lui è alzato e ha voluto portare me fuori a parco in braccio . Questo ha visto uno raggazo al parco , ha datto un schiafo a mio "" amore "" e ha portato lui a terra . Dopo sono arrabiata per colpa sua , perche devo andare a polizia per spiegare che successo ."
"VALICO","Assignment","","","ces","Ieri al parco io ho letto i giornali . Fra cinque minuti ho visto un ragazzo , che fatto male a una ragazza . Ho detto - vado aiutare a lei mi sono alzato e sono andato aiutare . Non sono così forte come era il ragazzo , ma ho dato due o tre pugni e il ragazzo è caduto caud sulla par tera e , ha ha lasciato la ragazza . La ragazza Lucia , cosi si chiama era felice e grata . Poi siamo seduti sulla panchiana e lei si è innamorata di me . Noi abbiamo raccontato fino la sera ... ."
"VALICO","Assignment","","","ces","Ieri al parco è accaduto grande equivoco . E ' quale ? # E ' stato un bello giorno , il sole fatto e il cielo è stato azzurro . # Paolo ha aggobbito nella panchina e ha letto il giornale . # Poi ha visto un signore . # E ' stato molto alto . # Paolo avuto paura . # Questo signor ha tenuto una ragazza nella spala , ma la ragazza ha griduto . # Paolo si ha alzaruto e ha preso salvare la ragazza . # E come ? L ' ha colpito . # Il signor ha caduto in terra . # La ragazza ha avuto un ' espressione esterrefatto . Questo signor è stato il suo amico . # Ma come Paolo l ' ha potuto sapere ? # Poi questa signora ha griduto ."
"VALICO","Assignment","","","ces","Ieri al parco ho visto un uomo giovane chi sedeva ha sulla panca e legeva il giornale . Di colpo impro l ' uomo ho visto un uomo molto robusto chi portava una ragazza . Questa gli ragazza era molto bella , giovane con i capelli long biondi e lunghi . Allora l ' uomo si è deciso a salvata la ragazza . # Si è alzato velocemente e ho colpito l ' uomo . Ma per la sua sorpressa la bella bionda ha diventato molto agitata e ha cominciato a gridare che suo xx xx fidanzato l ' ho dal quale fatto perchè è s ' innamorato a a lei e anche lei ama lui . # L ' Altro uomo era deluso xx ."
"VALICO","Assignment","","","ces","Che bella giornata ! C'è sole . Il cielo è senza unnica nuvola . Siedo al nell parco e leggo il dell giornale e serversi ? dell : il giorno libero . All ' improviso sento un rumore . Che cosa succede ? qualche uomo . E ' forte alto e infuriato e porta la donna grida . questo non è normale . Devo qualcosa fare . Devo colpire . Devo aiutare questa donna . Cosi abbatto quest ' ' uomo il colpo una prima botta . Sono fiero di me . Traggo questa bella donna . Sono l ' eroe . Ma chi cosa succede ? # questa bella straniera è furioso . Perchè ? # Che cosa ha ha farò male ? Soltanto ora mi spiaga che quest ' ' uomo che legge in terra è il suo xxxxxx xxxxx . Che peccato !"
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro Marco ha avuto un sogno . # Lui è anndiato e ha cominciato a sognare di essere sulla piccola nave con la bellissima ragazza . Marco è stato un capitano che ha salvarla della isola abbandonata . Ha voluto sposarla ma la ragazza ha cominciato a essere molto arrabbiata e straniera . # Marco non ha saputo perchè , e che cosa ha fatto male . In realtà ha sento la sua diretrice che l ' ha vista come dorme . Lei ha cominciato a insultare Marco e ha domandato che cosa fa e perchè non lavora . # Marco non ha risposto rispond e ha devuto tornare nello suo lavoro come ogni giorno ."
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro ho sognato della crociera sulla barchetta . Mi ha fatta la società una bella bionda . E ' stata snella snella , abbronzata , con gli occhi azzurri . Abbiamo chiacchierato della vita . # Gli uccelli hanno cantato , il mare sono stato sa pacifico , il sole ha albeggiato ... # Improvviso questa ragazza mi ha dato un colpo ! Che cosa è successo ? # Mi sono addormentato al lavoro ! Che spiacevole situazione ! La bella signorina è già passata . Invece la mia capo è stata qui . E ' stata adirata con me . # Ho dovuto restare al lavoro poi l ' orario di lavoro ."
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro Giulio stava pensando alle vacanze estive che si avvicinavano . Già da parecchi giorni aveva nella testa un sogno di andare sulla barca . Si vedeva là con la sua bella collega Laura . E ' una bionda che non lo lascia mai calmo ogni volta che la vede . Purtroppo è una tipa un pò severa e cattiva . # Comunque nel sogno si la immaginava tutta diversa . Diciamo più gentile , ma solo fino quando all ' improviso lei gli ha fatto girare la barca e l ' ha fatto tornare al porto . # In realtà la solita severa Laura l ' ha svegliato dal sogno con un pugno nella spalla . #"
"VALICO","Assignment","","","ces","Giulio si è poi accorto che è passato un quart d ' ora da quando ha smesso di lavorare . # Laura aspettava che le fa qualche timbri sulle carte che gli ha portato . Non gli ha regalato neanche un sorriso dolce . Giulio si lo poteva immaginare solo nel sogno"
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro ho seduto e non ho lavorato ma ho sognato che possedo la nave a motore e vado in Sicilia con una ragazza bella . Ha la figura fantastica , i capelli biondi , la faccia come l ' angelo e le gambe lunghe . Il tempo è stato bellissimo , il sole ha irradiato ed i mugnaiacci hanno volato attorno . Ad un tratto la ragazza carina non è stata carina ! Lei ha cominciato a fare la bava . Che cos ' è stato ? Sul momento mi sono svegliato ! E ' stato soltanto il mio sogno e la ragazza rabida è stata la mia direttrice . Mi sono scusato e ho cominciato a lavorare subito . Forse qualche volta questo sogno sarà la realità ..."
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro stavo pensando di fare una bella gita in barca , di invitare una bella ragazza e per pasare dei bei momenti con lei . Il mio sogno era così intensivo Ho xxx dimenti cato di tutto per un ' attimo . # Quindy un ' altro giorno ho deciso di andarci . # Il Qu mare era bellissimo , un ' po mosso , però veramente bello . La gita è andata molto bene ! # All ' improviso mi sono accorto di stare al lavoro . # Il mio capo strilava come una matta . Stavo solo sognando . Non era sucesso niente in realta . # Ho pensato : "" Che peccato ! "" e ho ripreso di lavorare ."
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro il signor Neri ha avuto molto da fare ma sognava le vacanze ideale . # Imaginava che va con il panfilo sul mare Adriatico , fa bel tempo e c'è una donna molto molto bella con lui . Si piace la donna moltissimo . Chiacchierano di tutto ma all ' impro| vviso lei vuole dargli un colpo . Il signor Neri non capisce niente , probabilmente ha detto qualcosa di male , ma quando apre gli occhi vede la sua padronina arrabiata . Si rende conto di non ha fatto niente quindi deve smettere di sognare e deve lavorare molto ."
"VALICO","Assignment","","","ces","Un giorno al lavoro mi sono noiato e mi sono sognato uno sogno , che sono al mare e guido una barca . # Con me è di la una raggazza bella , parliamo normale e puoi lei cominca urlare . Io non ho capito perchè , dopo me tocca un mane e io mi sveglio e vedo mia chefa troppo arrabiata per me , perche lei ha visto me come dormo ."
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro non era niente da fare . Sono stato annoiato . Fra cinque minuti ho sognato . - Ho un nave a motore dove sono stato un capitano e mia compagnia era mia direttore , però adesso non era così severa , lei aveva le costume da bagno . A un punto lei ha cominciata gridare allo scandalo . Non ho capito perche ? Mi sono svegliato e sono stato di nuovo al lavoro e la direttore ha urlato , che non ho fatto niente . Mio sogno era via e ho cominciato lavorare ..."
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro è sono stato Pietro Pietro molto stanco . # Non gli voluto lavorare e affatto non si ( si ) ha concentraruto . # Sempre crede ( xxxxx ) in una signora . # È bella . # È alta , ha occhi blu e capelli castani . # È la sua direttrice . # È con le nella nave - solo loro due . # È un bello giorno - il sole fatto , il cielo è azzurro , il mare è tranquile e uccelli cantano . # Lei ha bikini blu e è sempre sorridente . # Per Pietro è un bello xxxx sogno . # Poi dice ? - › Che cosa è accatuto ? # Questo bello motteggio ha sparito . # Ha si svegliarato e a tavola vede la sua direttrice . # È irata , perché è molte ore e non lavora sempre . # Pietro dice : "" È stato un bello sogno ."
"VALICO","Assignment","","","ces","L ' altro giorno al lavoro Ricardo era troppo stanco perché non ha dormito questa notte . Dunque si è addormentato sulla scrivania e sognava xxx . Il sogno era piacevole . # Lui era un capitano della nave sul mare . Ci era anche una bella bionda nel nella costume del bagno . Era molto bella . # Improvvisamente la ragazza è cambiata . Ha diventata agitata e ha cominciato a scuotere con lui . Allora si è svegliato subito . La bionda è la sua datore di lavoro e è è molto arrabiata ."
