"Corpus","Type","Text.ID","Author.ID","L1","content"
"VALICO","Assignment","","","slk","Alla stazione Sembra piuttosto una giornata come tutte le altre caotica . C ' è un sacco di gente alla stazione però non è niente di Alcuni sono pronti per partire , l ' atri invece forse aspettano forse i suoi amici , parenti , colleghi . Poi e ci sono quelli che non vanno da nessuna parte . Come per esempio la coppia dei giovani abbracciati . Uno di loro sta per partire , sia il ragazzo o la ragazza x . Affianco ce l' hanno una borsa d' affari , una borsa sportiva e una valigetta . C'è anche un mecchanico che li sta guardando a distanza . La scena tranquilla viene però disturbata da uno che correndo attraversa fa saltare un tavolino davanti il bar , spaventa la signora seduta vicino . Chissa cosa ha fatto ! Forse sta scappando , ha rubato qualcosa e cerca di sparire più presto possibile . Così non guarda neanche dove sta andando e versa per terra per terra tutto ciò che era sul tavolino . Che disastro !"
"VALICO","Assignment","","","slk","Secondo me il consiglio comunale ha votato per una cosa giusta . Se fossi il membro del consiglio comunale , anch ' io voterei all ' unanimità di chiudere il centro storico alle auto . Il centro storico dovrebbe essere raggiungibile dai mezzi pubblici . A questo punto nessuno ha bisogno della macchina . E se i cittadini hanno a disposizione le navette e biciclette , la situazione è ottima . Il fosse al posto dello sindaco , intanto inizierei a costruire i parcheggi fuori centro storico . Così i cittadini potranno parcheggiare le loro macchine e poi usare le navette per arrivare nelle loro abitazioni . Questa decisione apprezzarono sopratutto i turisti che visiteranno la città . Potranno ammirare le belezze del centro storico senza che li distarba il traffico intenso . Secondo me tutti i consigli comunali dovrebbero fare questa decisione , la quale aprezzerebbero quasi tutti ."
"VALICO","Assignment","","","slk","Credo che alla sia una buona decisione e saggia da parte del consiglio comunale . Oggigiorno la vita è molto frenetica e veloce . Ovunque si vada , ci sono migliaia di macchine che inquinano l ' aria . Inoltre x , il traffico danneggia gravemente l' udito e provoca , a lungo andare , disturbi x di x respirazione sia agli adulti che ai bambini . Pertanto , è necessario intervenire soprattutto a livello locale . Se tutti i comuni decidessero di adottare i provvedimenti del genere , oggi non ci sarebbero così tanti problemi di salute e non ci sarebbe , neppure , il problema del parcheggio nei centri storici . Ognuno potrebbe prendere in prestito un bicicletta comunale oppure semplicemente salire su una navetta gratuita . In poco tempo ragguingerebbe il centro e potrebbe camminare con tranquillità in mezzo agli edifici storici senza preoccuparsi delle macchine ."
"VALICO","Assignment","","","slk","Era una grigia giornata d ' inverno sulla stazione Ferroviaria di Torino erano poche persone di passaggio Una copia giovane di amanti si dava l'ultimo bacio appassionato dopo aver passato un weekend insieme . Lei tornava in un ' altra città dove fa i suoi studi , molto Sconvolta perché non si saranno visti per un mese intero . Assaliti dalla loro passione , non si accorgevano del mondo Intorno . Così non notarono si acc neanche un tumulto che scoppiò proprio dietro le loro spalle . Un vecchio investigatore con il suo giovane assistente Insediarono quel giorno uno spacciatore di droga ricerca|to già da tempo . Sotto la maschera di un venditore di salumi lui operava lungo tempo in questa zona . Quel giorno lui si incontrò con il suo complice travesti|to di donna in buffet della stazione per non destar sospetto , fingendo di un ' appuntamento da vecchi amici trovatisi a prendere un caffè insieme . Proprio nel momento quando questo movimento voleva consegnare al suo complice un pacchetto contenuto la sostanza sospetta , il giovane abile assistente del nostro investigatore gli venne incontro vedendolo , il criminale , rovesciò il tavolo preso dal panico e si diede in fuga fugg , lasciando stupite le persone intorno."
"VALICO","Assignment","","","slk","C ' erano tre amici molto buoni ( un ragazzo Carlo , un cane Asta e una rana Berta ) . Tutti hanno vissuto nella casa vicino al grande & scuro grande & scuro bosco . # Una volta quando Quel giorno il ragazzino Luigi e il suo cane Asta sono andati a al letto presto . # Mentre loro dormivano , la rana Berta ha scappato dalla sua "" casa "" fatta di una botiglia . Dopo che Dopo che Luigi ed Asta si sono svegliati si sono svegliati p non potendo trovar non hanno potuto tro- varla a nessun posto . # Per non perdere il tempo , Luigi si è vestito velocissimo . Mentre guardavano guardavano guardando fuori della finestra , Asta è caduto dall di là { dall } di là nella sul giardino . # Fortunamente non si è stato ferito gravemente e tutti e due poevano andare a cercare Berta . Luigi ha Luigi ha Hanno gridato ad alta voce la ne mentre Asta baiava desperamente . # Hann Dopo Fra un poco hanno trovato la casa delle api . Non Volevano chiedergli se non hanno visto Berta . Luigi ha quasi cominciato a piangere . Durante Luigi aveva e stava cercando nei tronchi , Asta ha f barrabbiato le api perchè ha g distrutto la loro casa . Tutte l ' hanno seguito . Fortunatamente ha trovato un n posto dove per nescondersi . Luigi si è sbrigato Luigi , avendo paura di perdere anche Asta è andato alla stessa , ha corso molto molto veloce per cacciarlo . Lo ha trovato dietro una piccol a a ina collina . Purtroppo , c ' erano anche un grande ucello e caccia grossa . Luigi non ha fat Mentre Luigi non faceva attenzione , questo per lui stra sconosciuto animal e e o , lo ha port preso e portato via . Dopo qualche momento lo ha butato insieme con Asta in un grande "" buca "" piena d ' acqua . Dopo esser caduti nell ' acqua Dopo esser caduti nell ' acqua Dopo aver cadu Dopo aver cadu Hanno fatto uno u splash . # Infatti Asta a qu cui non piace acqua da morire ha trovato un bel posto sulla testa di Luigi . Poi Quando ess Mentre si avvicinano a un gr tronco grandissimo , Luigi ha sentito qualcosa spaventoso . # Dopo aver esser riusciti di sopravedere di sopravedere vedere sopra il tronco , come era la come era la che si e hanno loro sorpresa , perchè dopo tutta l ' avv Berta . La loro amica era xa fin è stata finita . # C ' è C ' era una cosa un ' altra cosa quale che Luigi ed Asta hanno notato . La propria famiglia di Berta . Dopo aver chiachierato un poco hanno capito chi il suo posto e là , non a casa di Luigi dove aveva solo una la botiglia di vetro . # Prima il buio ha caduto s una Prima Tardi pomeriggio hanno salutato tutti e sono andati a casa . Gio Dopo tutte le avventure erano veramente stanchissimi ."
"VALICO","Assignment","","","slk","Secondo molte persone nel mondo dell ' economia è importante finire gli studi il più presto possibile . Condividete questa opinione ? perchè si o perchè no ? Quali sono le vostre priorità nella pianificazione degli studi e della vostra carriera professionale ? # #005 Non condivido l ' opinione che nel mondo dell ' economia è importante finire gli studi il più presto possibile . # Secondo me Secondo me è x più importante fare esperienze pratiche durante gli studi e passare qualche semestre all ' estero . x Il datore di lavoro ha più interesse per gli stage e per i soggiorni all ' estero che per la durata degli studi . Le mie priorità nella pianificazione degli studi e della mia carriera professionale sono diverse . Sono nell ' ultimo anno degli miei studi e dopo aver tornata dal soggiorno a Venezia xx devo scrivere tesi di laurea e prima xx di terminare gli studi vorrei fare uno stage all ' estero . Preferisco uno stage in Austria o Germania o Italia . Penso che con queste esperienze sarò avere più possibilità di fare una carriera e mi inserirò più velocemente nel mondo del lavoro . #"
"VALICO","Assignment","","","slk","Presentati rapidamente . Rispondi alle domande seguenti : Come ti chiami ? Dove e quando hai fatto la maturità ? Da quando e perchè impari l ' italiano ? In che semestre ti trovi ? Sei già stato in Italia ? #026 Mi chiamo Linda . Sono di Kostic . Ora sono la studentessa in scambio all ' Università economia . Ho fatto la maturità al liceo a Kostic al liceo a Kostic 4 anni fa . Ora sono nel 9 semestre . Studio il commercio internazionale . Imparo l ' italiano da un ' anno . Ho cominciato a imparare studiare l ' italiano all ' università di economia di Praga perchè mi piace molto la lingua italiana , la gente e il paese . # Vorrei avere rapporti d ' affari e professionali con l ' Italia . # Non sono stata in Italia ma spero che andrò presto in Italia . Vorei studiare in Italia o lavorare in una ditta italiana un pò di tempo . Vorrei conosco la cultura italiana e il mondo migliore è abitare in Italia più lungo tempo . #"
"VALICO","Assignment","","","slk","Raccontate brevemente per che motivi avete scelto il vostro indirizzo di laurea . Come avete preparato questa decisione ? Avete già uno scopo concreto per la vostra carriera professionale ? # x x x x Ho deciso di studiare economia internazionale all ' università di economia di Praga perchè è l ' università famosa . # Mi interessano le lingue straniere e vorrei lavorare in una ditta internazionale . La mia scelta degli studi non è stata molto difficile . Non so sicuramente il nome della ditta dove vorrei lavorare o il campo concreto ma vorrei incontrarmi con delgi stranieri nel mio lavoro e usare le lingue straniere . Mi piacerebbe viaggiare tanto e conoscere altre culture . Penso che la mia scelta è stata buona perchè dopo evar terminare gli studi ho diversi possibilità del ' impiego . Sono felice che posso studiare passare all ' estero perchè oggigiorno è difficile trovare un buon lavoro . # x"
"VALICO","Assignment","","","slk","Guarda questa figure e scrivi una storia : non devi descrivere i disegni uno per uno , perchè anche una persona che non vede le figure deve capire cosa è successo . # Usa almeno 100 parole e inizia così : Ieri al parco ... # #082 #Ieri al parco Paolo sedeva e leggeva un giornale quando ha sentito da qualcuno ha bisogno del aiuto . Un uomo grande portava una donna che non aveva voglia andare con lui . Paolo ha deciso di aiutarle . Ha finito a leggere e ha aiutato alle donna . # Michele aveva più forza di un uomo grande grande uomo arabbiato . Michele ha intento che facesse una cosa buona e ha aspettato che la donna gli sarebbe stata grata perche lei deve fermarsi più . Ma la donna era innamorata in questo uomono . Lei non voleva che il suo amore soffrisse e avesse i dolori grandi . Era arabbiata e litigava con Michele . Michele le ha detto che voleva solo aiutarla . #"
"VALICO","Assignment","","","slk","In questa vigneta , l ' autore ha dipinto una parte della stazione ferroviaria . Dall ' immagine possiamo vedere una persona che sta comprando il biglietto del treno ( la figura che si trova sotto l ' orologio ) , poi le tre persone che salutano i propri famigliari o amici che salgono sul treno . Particolarmente interessante trovo la scena raffigurata nello spazio più vicino all ' osservatore . C ' é una signora che é seduta al tavolo , il quale é stato capovolto dal cane che scappa via . Questo ha causato un vero e proprio disastro . C ' é Ci sono alimentari del cibo per terra , ogggetti per l ' aria , la gente che vicin si trova vicino alla scena dascritta , é un pò spavventata e stupita . gli unici , che sembrano di non aver notato l ' accaduto , la sono i due inamorati . Rimangono abbracciati uno all ' altra , si baciano e niente li può disturbare . Le loro valigie sono deposte per terra e un qualsiasi ladro non avrebbe difficoltà nel rubarglieli . Ed , in effetti , c ' é una persona strana vicino a loro però non si capisce bene se vuole rubare o no . Un ' altra persona interessante , é il signore anziano con la la xxx barba , il il e cappello e la sigaretta in bocca . È Questo é posizionato nel nel di fronte a me però volto a verso di noi di spalle Questo é posizioonato nel davanti della vigneta però é volto di spalle verso di noi . Sembra divertirsi su tutto lo spettacolo della stazione . È un vero voyeur !"
