Corpus,Type,Text ID,Author ID,L1,content
MERLIN,Assignment,Text 1,1325_9000750,CS,"Caro Giorgio, avendo letto la tua lettera sul giornale ""settimana giovani"", non riesco a non risponderti, per racontare la mia esperienza, molto simile alla tua.  qualche tempo fa, ho avuto un periodo non molto felice nella mia vita. sono stata licenziata, ho divorziato e in più sono arrivati dei problemi con la salute. non avevo voglia di frequentare  nessuno e così ho cominciato a chatare. che bella scoperta!!! da un' amico ne sono diventati decine. sono diventata lo schiavo del computer. dopo aver capito, che mi stavo dirigendo verso la depressione, mi sono detta, basta. è sicuramente carino di poter scambiare le nostre oppinioni con qualcuno, senza dover litigare, ma ci vogliono anche delle persone in carne e ossa, per non chiudersi tra le mura e per convivere le vere raazioni  della gente.  perciò, ho chiuso con tantissime amicizie virtuali e sono rimasta in contatto solamente con le persone con quali mi sentivo bene, rilassata e tranquilla. credo, che anche tu dovresti fare la stessa cosa. scegliere solamente alcuni amici virtuali e stabilire quanto tempo vuoi e sopratutto puoi passare con loro. nel mio caso funziona benissimo. ho ricominciato a vedermi con gli amici di prima, faccio lo sport, esco di sera, vado a ballare. insomma, cerco di vivere la vita reale.  perciò, dai, forza, che ci riuscirai anche tu. con tanti auguri la tua amica (non virtuale)                                                                                                                        maria  p.s. se ti andrebbe di contatarmi, ecco il mio indirizzo e il numero di telefono: ciao "
VALICO,Assignment,,,CS,"Può essere , ma non sara diminuendo x e contro . Ma penso , che sarebbe giusto , che i studenti , chi sono cominciati studiare alle condizioni "" vecchie "" , avrebbero la possibilità di scelta tra questi due gruppi di condicisioni . Secondo la regola x "" Non cambiare le regole durante il gioco "" . Quelli studenti , chi cominciereanno studia re , sarebbero guidati per le condizioni per ore . Speso , che l ' aumentazione di numero degli esami serà l ' effetto buono alla prepara|zione degli studenti a loro vita prallica e a loro lavoro ."
VALICO,Assignment,,,CS,"Non sono molto d ' accordo con le tase ma con x gli esami sì . Per una studentessa , che non ha molte possibilità economiche , alzare le tasse avrebbe sarebbe significato di rinunciare agli studi . Già così è abastanza dura quindi spero che non accadrà mai . Posso capire che gli insegnanti si sentono non apprezzati pagati ma penso che si potrebbe trovare un modo diverso per risolvere il problema . Soprattutto si dovrebbe alzare la con gli esami sarei pienamente d ' accordo solo se no qualità delle classi e dei laboratori . Con gli esami sarei d ' accordo anche si per me , studentessa straniera , sarebbe un po ' più complicato , perchè gia studiare in una lingua straniera è molto difficile . Però dall ' altra parte è la scelta che abbiamo fatto noi . E ' un problema molto complesso e si dovrebbe studiare a lungo per non farlo pesare troppo agli studenti e non dimenticarsi neanche degli insegnanti"
VALICO,Assignment,,,CS,"una raggazina ( fanciula ) che si chiamava Capuccetto rosso - aveva la mama Nonna abbitava in un bosco . Un giorno viene a visitarla con un cestino pieno di dolci . Durante viaggio lei ferma un luppo cativo e la chiede Lupo "" Dove vai Capuceto Rosso "" - C . R "" Da mia nona "" Lupo "" e dove abbita la tua nonna - "" ? C .R C. R "" dentro di questo bosco . "" Mentre C . R . continua a caminare dalla sua mamma , ma ma li Lupo cativo Ha fatta Ha fatta mentre C .R . ha fretta essere prima dalla nona . . ... e cosi era era succievo . . la mangia . . prende il suo capello in sua brutta testa , occhiali mette sul ' suo naso . si butta nell letto - e aspettava sta aspettando sta aspettando la Capuceto Rosso . Lei arriva . . La mangia . . e si adormenta ... e russa ariva amico di mi nonna quando vedrà sul lupo mell letto della nonna con la pancia gonfia subitto cappische che cosa e succiesso . Prende il coltelo e fa . . Nella della pancia esche il capecetto rosso e la nonna . Riempono la pancia con le pietre , la cucciono e lo buttano dentro di un lago . La nonna con C .R sono felici e ringraziano il suo salvadore . THE END"
VALICO,Assignment,,,CS,"Ieri al parco uno studente ha visto una signorina . La signorina è stata molto bella e simpatica e ha avuto bisogno di aiuto . # Uno straniero alto e forte ha voluto di rapirla via . Lo studente non ha esitato , ha finito leggere i giornali ed è corso di salvarla subito . Lui è stato molto bravo e ha vinto lo straniero che ha restato giacere sulla terra . La signorina è stata molto felice e affascinata di forza dello studente . Non ha potuto credere come è forte e simpatico . # Alla fine lei si si è innamorata dello studente come sempre . Il lieto fine ."
VALICO,Assignment,,,CS,"Ieri mattina al parco è successo un malinteso . # Siamo stati ritornati a casa con il mio fidanzato . Da prima siamo stati a una serata . Ci sono stati tanti ragazzi e io ho voluto fare l ' amicizia . Improvviso ho rimasto da sola . # Un ragazzo - alto , musculoso , con gli occhi e i capelli bruni mi mi ha domandato : "" Signorina , è da sola ? Che cosa vuole bere ? "" Ho dimenticato dire che il mio fidanzato è geloso . Mi ha portato e siamo andati a casa . Al parco ha cominciato essere aggressivo . Un ' uomo , che ha seduto al parco , ha voluto salvarmi e ha aggredito il mio fidanzato . Sono stata arrabiata ! "" Bada ai fatti tuoi , "" ho detto . # Li ho lasciato al parco e sono andata a casa da sola ."
VALICO,Assignment,,,CS,"Ieri al parco è successa una cosa molto strana . Marco stava seduto sulla sua panchina preferita e come di solito stava leggendo un giornale . # Circa dopo mezz ' ora della lettura tranquilla , si è accorto di una coppia che sembrava di litigare . # Cose è successo . Praticamente è arrivato un tipo muscoloso e si è messo ad urlare a una ragazza quale fino a quel momento stava seduta calma a prendere un pò di sole . L ' uomo l ' ha presa e si la portava via sulla spalla come un sacco di patate . Naturalmente che la ragazza urlava ciò ha fatto alzzare Marco , il quale come un eroe si è messo a salvare la poverina . # Con un pugno solo ha fatto cadere il ragazzo muscoloso e si stava aspettando delle mille grazie dalla ragazza salvata . # Purtroppo non sempre le cose vanno come uno si aspetta . Invece di ringra| ziare , la ragazza si è messa ad urlare a poverino Marco . Era molto arra| bbiata con lui , non capiva perchè ha picchiato il suo fidanzato . # Lo minacciava con una denuncia alla polizia e diceva che non si doveva intramettere nelle cose di cui non sa niente . # Marco ha capito che non vale la pena a distrarsi dalla lettura di prossima volta ."
VALICO,Assignment,,,CS,La Storia - AMORE
VALICO,Assignment,,,CS,"Ieri al parco Sergio è seduto e ha letto il giornale e ad un tratto ha passato un ragazzo che ha avuto aspetto come il pugile e ha portato a spalla una ragazza che ha gridato . Sergio ha riconosciuto la sua amica Paola . Si è alzato e si è deciso a salvarla subito . Fra poco li ha raggiunti , ha tolto Paola e l ' ha colpito . Il ragazzo è caduto in deliquio e Sergio ha pensato che Paola sarà felice . Però lei è stata irrivitata e ha cominciato a commentare chi è il ragazzo sdraiato . "" Rocco è il mio promesso e siamo corsi alla chiesa perchè abbiamo voluto sposarsi ! VAI ! ... Oh , mio Rocco ! "" Paola ha detto e ha aiutato a Rocco poveraccio . Sergio ha pensato che le donne sono stravaganti ."
VALICO,Assignment,,,CS,"Una ragazza è rapita in un parco . L ' ha xx rapita un tipo molto strano , con il fisico straordinario , era tutto muscolato . In quel parco c ' era anche un ' altra persona , leggeva un giornale . # Ha visto tutto . Si è incazzato e si è alzato in piedi . Voleva aiutare la ragazza . Ha comincia| to a strilare è ha dato un sacco di botte al rapinatore . Alla fine il ragazzo che voleva aiutare la ragazza , ha scoperto che il rapi| natore non è un un rapinatore , però è xx xxx fidanzato della ragazza . Quindy tutto è sucesso per sbaglio ."
