"doc_id"	"term"	"freq"
"1"	"1"	"c"	32
"2"	"1"	"("	48
"3"	"1"	"\""	946
"4"	"1"	"Caro"	7
"5"	"1"	"Giorgio"	1
"6"	"1"	","	1918
"7"	"1"	"avere"	1005
"8"	"1"	"leggere"	55
"9"	"1"	"il"	3364
"10"	"1"	"tuo"	17
"11"	"1"	"lettera"	1
"12"	"1"	"su"	176
"13"	"1"	"giornale"	51
"14"	"1"	"\"	124
"15"	"1"	"settimana"	25
"16"	"1"	"giovane"	31
"17"	"1"	"non"	513
"18"	"1"	"riuscire"	25
"19"	"1"	"a"	904
"20"	"1"	"rispondere"	7
"21"	"1"	"ti"	24
"22"	"1"	"per"	390
"23"	"1"	"racontare"	1
"24"	"1"	"mio"	227
"25"	"1"	"esperienza"	15
"26"	"1"	"molto"	231
"27"	"1"	"simile"	5
"28"	"1"	"."	2268
"29"	"1"	"qualche"	48
"30"	"1"	"tempo"	61
"31"	"1"	"fa"	13
"32"	"1"	"uno"	1154
"33"	"1"	"periodo"	24
"34"	"1"	"felice"	17
"35"	"1"	"in"	551
"36"	"1"	"vita"	22
"37"	"1"	"essere"	1522
"38"	"1"	"licenziato"	1
"39"	"1"	"divorziare"	1
"40"	"1"	"e"	1215
"41"	"1"	"più"	68
"42"	"1"	"arrivare"	20
"43"	"1"	"di"	1171
"44"	"1"	"problema"	32
"45"	"1"	"con"	338
"46"	"1"	"salute"	2
"47"	"1"	"vogliare"	6
"48"	"1"	"frequentare"	3
"49"	"1"	"nessuno"	22
"50"	"1"	"così"	62
"51"	"1"	"cominciare"	63
"52"	"1"	"chatare"	1
"53"	"1"	"che"	644
"54"	"1"	"bello"	113
"55"	"1"	"scoperta!!!"	1
"56"	"1"	"da"	237
"57"	"1"	"'"	398
"58"	"1"	"amico"	56
"59"	"1"	"ne"	25
"60"	"1"	"diventare"	15
"61"	"1"	"decina"	1
"62"	"1"	"schiavo"	1
"63"	"1"	"computer"	2
"64"	"1"	"dopo"	99
"65"	"1"	"capire"	42
"66"	"1"	"mi"	279
"67"	"1"	"stare"	114
"68"	"1"	"dirigere"	2
"69"	"1"	"verso"	18
"70"	"1"	"depressione"	1
"71"	"1"	"dire"	79
"72"	"1"	"bastare"	15
"73"	"1"	"sicuramente"	6
"74"	"1"	"carino"	1
"75"	"1"	"potere"	147
"76"	"1"	"scambiare"	2
"77"	"1"	"nostro"	32
"78"	"1"	"oppinione"	1
"79"	"1"	"qualcuno"	25
"80"	"1"	"senza"	30
"81"	"1"	"dovere"	155
"82"	"1"	"litigare"	4
"83"	"1"	"ma"	180
"84"	"1"	"ci"	152
"85"	"1"	"volere"	113
"86"	"1"	"anche"	175
"87"	"1"	"persona"	47
"88"	"1"	"carne"	13
"89"	"1"	"osso"	1
"90"	"1"	"chiudere"	6
"91"	"1"	"si"	417
"92"	"1"	"tra"	30
"93"	"1"	"muro"	1
"94"	"1"	"convivere"	1
"95"	"1"	"vero"	10
"96"	"1"	"raazione"	1
"97"	"1"	"gente"	58
"98"	"1"	"perciò"	5
"99"	"1"	"tanto"	61
"100"	"1"	"amicizia"	5
"101"	"1"	"virtuale"	3
"102"	"1"	"rimanere"	21
"103"	"1"	"contatto"	3
"104"	"1"	"solo"	86
"105"	"1"	"quale"	40
"106"	"1"	"sentire"	63
"107"	"1"	"bene"	41
"108"	"1"	"rilassato"	4
"109"	"1"	"tranquillo"	15
"110"	"1"	"credere"	18
"111"	"1"	"tu"	16
"112"	"1"	"fare"	228
"113"	"1"	"stesso"	30
"114"	"1"	"cosa"	111
"115"	"1"	"scegliere"	9
"116"	"1"	"alcuno"	25
"117"	"1"	"stabilire"	1
"118"	"1"	"quanto"	11
"119"	"1"	"sopratutto"	10
"120"	"1"	"passare"	41
"121"	"1"	"loro"	53
"122"	"1"	"caso"	13
"123"	"1"	"funzionare"	3
"124"	"1"	"ricominciare"	1
"125"	"1"	"vedere"	159
"126"	"1"	"prima"	31
"127"	"1"	"sport"	1
"128"	"1"	"esco"	2
"129"	"1"	"sera"	33
"130"	"1"	"andare"	112
"131"	"1"	"ballare"	2
"132"	"1"	"insomma"	3
"133"	"1"	"cercare"	29
"134"	"1"	"vivere"	12
"135"	"1"	"reale"	4
"136"	"1"	"forza"	12
"137"	"1"	"riusciere"	1
"138"	"1"	"augurio"	1
"139"	"1"	")"	52
"140"	"1"	"mario"	1
"141"	"1"	"p."	1
"142"	"1"	"se"	92
"143"	"1"	"andre"	2
"144"	"1"	"contatare"	1
"145"	"1"	"ecco"	6
"146"	"1"	"indirizzo"	3
"147"	"1"	"numero"	4
"148"	"1"	"telefono"	1
"149"	"1"	":"	61
"150"	"1"	"ciao"	6
"151"	"1"	"sarare"	2
"152"	"1"	"diminuire"	1
"153"	"1"	"x"	22
"154"	"1"	"contro"	6
"155"	"1"	"pensare"	55
"156"	"1"	"giusto"	10
"157"	"1"	"studente"	83
"158"	"1"	"chi"	40
"159"	"1"	"studiare"	91
"160"	"1"	"condizione"	3
"161"	"1"	"vecchia"	1
"162"	"1"	"possibilità"	8
"163"	"1"	"scelta"	9
"164"	"1"	"questo"	196
"165"	"1"	"due"	80
"166"	"1"	"gruppo"	3
"167"	"1"	"condicisione"	1
"168"	"1"	"secondo"	48
"169"	"1"	"regola"	3
"170"	"1"	"cambiare"	16
"171"	"1"	"durante"	29
"172"	"1"	"gioco"	7
"173"	"1"	"quello"	111
"174"	"1"	"comincieree"	1
"175"	"1"	"studia"	1
"176"	"1"	"re"	6
"177"	"1"	"guidare"	4
"178"	"1"	"ora"	55
"179"	"1"	"speso"	1
"180"	"1"	"l"	116
"181"	"1"	"aumentazione"	1
"182"	"1"	"esame"	7
"183"	"1"	"sare"	1
"184"	"1"	"effetto"	2
"185"	"1"	"buono"	36
"186"	"1"	"prepara|zione"	1
"187"	"1"	"prallico"	1
"188"	"1"	"lavoro"	66
"189"	"1"	"d"	21
"190"	"1"	"accordare"	2
"191"	"1"	"tase"	1
"192"	"1"	"sì"	8
"193"	"1"	"economico"	2
"194"	"1"	"alzare"	22
"195"	"1"	"tassa"	1
"196"	"1"	"significare"	7
"197"	"1"	"rinunciare"	1
"198"	"1"	"studio"	54
"199"	"1"	"già"	21
"200"	"1"	"abastanza"	1
"201"	"1"	"duro"	1
"202"	"1"	"quindi"	21
"203"	"1"	"sperare"	5
"204"	"1"	"accadere"	5
"205"	"1"	"mai"	21
"206"	"1"	"insegnante"	45
"207"	"1"	"apprezzato"	1
"208"	"1"	"pagato"	1
"209"	"1"	"trovare"	69
"210"	"1"	"modo"	17
"211"	"1"	"diverso"	26
"212"	"1"	"risolvere"	2
"213"	"1"	"soprattutto"	13
"214"	"1"	"la"	23
"215"	"1"	"pieno"	25
"216"	"1"	"no"	13
"217"	"1"	"qualità"	1
"218"	"1"	"classe"	5
"219"	"1"	"laboratorio"	1
"220"	"1"	"accordo"	3
"221"	"1"	"me"	118
"222"	"1"	"straniero"	18
"223"	"1"	"po"	39
"224"	"1"	"complicato"	3
"225"	"1"	"perché"	130
"226"	"1"	"gia"	1
"227"	"1"	"lingua"	62
"228"	"1"	"difficile"	26
"229"	"1"	"però"	25
"230"	"1"	"dall"	10
"231"	"1"	"altro"	118
"232"	"1"	"parte"	35
"233"	"1"	"noi"	18
"234"	"1"	"complesso"	2
"235"	"1"	"lungo"	28
"236"	"1"	"lo"	130
"237"	"1"	"pesare"	1
"238"	"1"	"troppo"	22
"239"	"1"	"dimenticare"	12
"240"	"1"	"neanche"	7
"241"	"1"	"raggazina"	1
"242"	"1"	"fanciula"	1
"243"	"1"	"chiamare"	22
"244"	"1"	"Capuccetto"	1
"245"	"1"	"rosso"	7
"246"	"1"	"-"	62
"247"	"1"	"mama"	1
"248"	"1"	"nonna"	1
"249"	"1"	"abbitare"	1
"250"	"1"	"bosco"	5
"251"	"1"	"giorno"	91
"252"	"1"	"venire"	32
"253"	"1"	"visitare"	28
"254"	"1"	"cesto"	3
"255"	"1"	"dolce"	17
"256"	"1"	"viaggio"	24
"257"	"1"	"lei"	70
"258"	"1"	"fermare"	8
"259"	"1"	"luppo"	1
"260"	"1"	"cativo"	2
"261"	"1"	"chiedere"	15
"262"	"1"	"Lupo"	3
"263"	"1"	"dove"	45
"264"	"1"	"Capuceto"	2
"265"	"1"	"Rosso"	2
"266"	"1"	"C"	25
"267"	"1"	"R"	3
"268"	"1"	"nona"	2
